336
运动员编号 项目编号 排名
10263 10001 1
10290 10002 1
10262 10003 1
10179 10004 1
10181 10005 1
10127 10006 1
10075 10007 1
10082 10008 1
10003 10009 1
10061 10010 1
10177 10011 1
10106 10012 1
10212 10013 1
10035 10014 1
10290 10015 1
10102 10016 1
10155 10017 1
10301 10018 1
10184 10019 1
10288 10020 1
10288 10021 1
10213 10022 1
10205 10023 1
10295 10024 1
10104 10025 1
10190 10026 1
10283 10027 1
10225 10028 1
10058 10001 2
10118 10002 2
10245 10003 2
10006 10004 2
10241 10005 2
10199 10006 2
10226 10007 2
10033 10008 2
10087 10009 2
10036 10010 2
10005 10011 2
10188 10012 2
10034 10013 2
10284 10014 2
10021 10015 2
10002 10016 2
10054 10017 2
10109 10018 2
10173 10019 2
10233 10020 2
10223 10021 2
10026 10022 2
10030 10023 2
10129 10024 2
10293 10025 2
10039 10026 2
10236 10027 2
10037 10028 2
10216 10001 3
10128 10002 3
10203 10003 3
10284 10004 3
10239 10005 3
10307 10006 3
10274 10007 3
10174 10008 3
10248 10009 3
10046 10010 3
10278 10011 3
10152 10012 3
10103 10013 3
10282 10014 3
10051 10015 3
10242 10016 3
10211 10017 3
10147 10018 3
10195 10019 3
10186 10020 3
10265 10021 3
10041 10022 3
10156 10023 3
10302 10024 3
10094 10025 3
10017 10026 3
10153 10027 3
10296 10028 3
10031 10001 4
10126 10002 4
10193 10003 4
10275 10004 4
10237 10005 4
10111 10006 4
10009 10007 4
10149 10008 4
10028 10009 4
10096 10010 4
10025 10011 4
10235 10012 4
10282 10013 4
10206 10014 4
10269 10015 4
10286 10016 4
10066 10017 4
10261 10018 4
10259 10019 4
10143 10020 4
10083 10021 4
10112 10022 4
10204 10023 4
10139 10024 4
10304 10025 4
10271 10026 4
10123 10027 4
10281 10028 4
10196 10001 5
10146 10002 5
10297 10003 5
10175 10004 5
10135 10005 5
10062 10006 5
10283 10007 5
10011 10008 5
10224 10009 5
10093 10010 5
10042 10011 5
10246 10012 5
10045 10013 5
10029 10014 5
10218 10015 5
10085 10016 5
10159 10017 5
10294 10018 5
10160 10019 5
10057 10020 5
10081 10021 5
10073 10022 5
10121 10023 5
10048 10024 5
10249 10025 5
10163 10026 5
10092 10027 5
10192 10028 5
10012 10001 6
10063 10002 6
10267 10003 6
10166 10004 6
10122 10005 6
10060 10006 6
10178 10007 6
10038 10008 6
10234 10009 6
10089 10010 6
10097 10011 6
10228 10012 6
10124 10013 6
10198 10014 6
10229 10015 6
10067 10016 6
10119 10017 6
10023 10018 6
10273 10019 6
10277 10020 6
10013 10021 6
10068 10022 6
10280 10023 6
10277 10024 6
10043 10025 6
10276 10026 6
10215 10027 6
10148 10028 6
10024 10001 7
10074 10002 7
10040 10003 7
10001 10004 7
10293 10005 7
10295 10006 7
10019 10007 7
10273 10008 7
10208 10009 7
10187 10010 7
10134 10011 7
10171 10012 7
10281 10013 7
10008 10014 7
10222 10015 7
10240 10016 7
10076 10017 7
10264 10018 7
10141 10019 7
10010 10020 7
10065 10021 7
10183 10022 7
10014 10023 7
10287 10024 7
10285 10025 7
10144 10026 7
10260 10027 7
10116 10028 7
10140 10001 8
10285 10002 8
10286 10003 8
10022 10004 8
10114 10005 8
10180 10006 8
10007 10007 8
10086 10008 8
10214 10009 8
10300 10010 8
10059 10011 8
10270 10012 8
10079 10013 8
10133 10014 8
10202 10015 8
10125 10016 8
10077 10017 8
10276 10018 8
10044 10019 8
10298 10020 8
10080 10021 8
10247 10022 8
10004 10023 8
10078 10024 8
10115 10025 8
10279 10026 8
10113 10027 8
10105 10028 8
10050 10001 9
10189 10002 9
10032 10003 9
10117 10004 9
10052 10005 9
10170 10006 9
10309 10007 9
10168 10008 9
10289 10009 9
10291 10010 9
10100 10011 9
10291 10012 9
10250 10013 9
10157 10014 9
10289 10015 9
10197 10016 9
10130 10017 9
10015 10018 9
10251 10019 9
10027 10020 9
10258 10021 9
10280 10022 9
10151 10023 9
10090 10024 9
10230 10025 9
10136 10026 9
10297 10027 9
10191 10028 9
10142 10001 10
10071 10002 10
10201 10003 10
10110 10004 10
10138 10005 10
10091 10006 10
10296 10007 10
10088 10008 10
10232 10009 10
10292 10010 10
10266 10011 10
10305 10012 10
10210 10013 10
10018 10014 10
10162 10015 10
10161 10016 10
10176 10017 10
10049 10018 10
10145 10019 10
10055 10020 10
10158 10021 10
10274 10022 10
10207 10023 10
10047 10024 10
10069 10025 10
10172 10026 10
10238 10027 10
10299 10028 10
10308 10001 11
10254 10002 11
10275 10003 11
10095 10004 11
10020 10005 11
10182 10006 11
10132 10007 11
10154 10008 11
10278 10009 11
10072 10010 11
10220 10011 11
10217 10012 11
10279 10013 11
10064 10014 11
10098 10015 11
10298 10016 11
10070 10017 11
10053 10018 11
10167 10019 11
10221 10020 11
10268 10021 11
10257 10022 11
10272 10023 11
10294 10024 11
10185 10025 11
10107 10026 11
10099 10027 11
10255 10028 11
10306 10001 12
10252 10002 12
10310 10003 12
10108 10004 12
10084 10005 12
10287 10006 12
10016 10007 12
10253 10008 12
10292 10009 12
10303 10010 12
10165 10011 12
10120 10012 12
10137 10013 12
10150 10014 12
10056 10015 12
10219 10016 12
10256 10017 12
10209 10018 12
10244 10019 12
10200 10020 12
10194 10021 12
10131 10022 12
10231 10023 12
10243 10024 12
10169 10025 12
10227 10026 12
10164 10027 12
10101 10028 12
